,cluster,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
2156,0,left,Criticism of Democratic Party,thing,doubt,other,have,"The verb 'have' is used metaphorically to describe the abstract state of 'doubt' as something that can be possessed or held, transcending its literal physical action. This personification of doubt as a tangible entity aligns with metaphorical usage where the verb conveys an abstract conceptual relationship rather than a direct physical action.",'I have no doubt there that #Democrats would sabotage a mission like this so our President would not have a success.'
2638,0,left,Electoral College,organization,college,other,have,"The verb 'have' is used metaphorically to indicate possession or control over the Electoral College as an institutional system, rather than describing a physical action. It signifies the group's role in the political process, transcending its literal meaning of physical ownership.",'Thank god we have the electoral college as the popular vote would be illegal aliens voice and not ours.'
1900,0,left,Human Rights Activists,person,they,other,claim,"The verb 'claim' is used metaphorically here to represent the act of asserting a label ('Racist') onto the US, rather than describing a physical action. It transcends its literal meaning of claiming ownership or territory to convey a conceptual assertion about the target noun 'they'.","'But they claim the US as ""Racist"" for wanting to protect our southern border?'"
2502,0,left,Immigrant Families,person,families,other,sacrificed,"The verb 'sacrificed' is used metaphorically to characterize 'families' as making abstract contributions (e.g., time, effort, resources) for the nation's benefit. This transcends the literal physical action of sacrificing, instead implying a symbolic or conceptual act of giving up personal interests for a greater cause.",'Their families have not sacrificed for this great nation.'
827,0,left,Immigration Policy,thing,system,force,work,"The verb 'work' is used metaphorically to describe how coyotes interact with the system, implying they exploit or manipulate it in a way that transcends physical action. The term 'work' here does not refer to a literal physical process but rather an abstract action, attributing agency to the coyotes in relation to the system.",'Bigger picture here is coyotes work the system.'
38,0,left,Immigration Policy,thing,loopholes,spatial motion,follow,"The verb 'follow' is used metaphorically to describe the process of tracking or adhering to abstract legal strategies ('loopholes'), which does not involve a physical action. The metaphorical aspect lies in applying a verb typically associated with physical movement or sequential steps to an abstract concept, implying a conceptual relationship rather than literal action.",'The emergency at the border requires the Fed Govt to rethink how they follow immigration loopholes.'
202,0,left,Immigration Reform Advocates,person,you,other,see,"The verb 'see' is used metaphorically to describe the cognitive act of perceiving or understanding an abstract distinction, rather than referring to a physical action of sight. The metaphorical aspect lies in equating 'seeing' with 'recognizing/understanding' an abstract concept (the distinction), which transcends its literal meaning of visual perception.","'That’s someone who cam here legally , lawfully, if you can’t see the distinction then you and others supporting them can sponsor them and pay for all their needs guarantee never to become a burden on tax payers'"
101,0,left,Law Enforcement Agencies,person,He,spatial motion,got,"The verb 'got' is used metaphorically to describe the state of 'He' having incorrect information. While 'got' literally means to obtain, in this context, it extends beyond physical acquisition to convey an abstract state of possessing erroneous facts, thereby transcending its original meaning.",'He recently got all his facts wrong about a heroic soldier.'
265,0,left,Legal and Asylum Terminology,thing,stories,other,reveal,"The verb 'reveal' is used metaphorically to describe the act of making the stories known, transcending its literal physical action. Stories are abstract, and 'reveal' here signifies uncovering hidden or previously unknown experiences, not a tangible physical action.","'Migrant children reveal stories of detention, separation.'"
488,0,left,Legal and Asylum Terminology,thing,laws,other,fix,"The verb 'fix' is applied to the abstract noun 'laws', transcending its literal meaning of repairing physical objects. Here, 'fix' metaphorically describes the process of correcting or addressing flaws in immigration laws, implying a conceptual adjustment rather than a physical action.",'Manufactured by Democrats who refuse to fix broken immigration laws!'
